order_id,customer_id,order_date,order_status,payment_value
ORD00042,CUST0005,2023-03-03,processing,1907.49
ORD00043,CUST0039,2023-10-23,invoiced,320.34
ORD00044,CUST0045,2023-11-08,delivered,2263.86
ORD00045,CUST0033,2024-05-20,invoiced,216.05
ORD00046,CUST0003,2024-03-18,delivered,1458.82
ORD00047,CUST0002,2023-04-04,canceled,2309.54
ORD00048,CUST0037,2023-01-22,delivered,1393.59
ORD00049,CUST0049,2023-06-29,invoiced,1257.54
ORD00050,CUST0029,2023-10-12,processing,2392.75
ORD00051,CUST0028,2024-05-18,shipped,1141.27
ORD00052,CUST0027,2023-12-08,delivered,1616.57
ORD00053,CUST0011,2023-12-04,delivered,1672.47
ORD00054,CUST0019,2024-02-15,delivered,112.16
ORD00055,CUST0006,2023-11-19,delivered,792.78
ORD00056,CUST0050,2024-02-18,delivered,1984.2
ORD00057,CUST0001,2024-04-18,delivered,153.73
ORD00058,CUST0034,2024-01-06,returned,1821.55
ORD00059,CUST0041,2024-03-28,delivered,508.45
ORD00060,CUST0036,2023-05-15,delivered,1065.53
ORD00061,CUST0045,2024-05-11,shipped,93.56
ORD00062,CUST0041,2023-09-03,processing,763.03
ORD00063,CUST0001,2024-02-22,shipped,558.66
ORD00064,CUST0008,2024-04-17,shipped,1563.31
ORD00065,CUST0010,2024-05-25,delivered,1233.57
ORD00066,CUST0018,2024-03-01,invoiced,2353.08
ORD00067,CUST0016,2024-04-12,delivered,368.52
ORD00068,CUST0013,2024-06-04,processing,2077.06
ORD00069,CUST0018,2024-02-29,delivered,2243.84
ORD00070,CUST0033,2023-10-01,delivered,696.74
ORD00071,CUST0020,2024-05-16,processing,1085.55
ORD00072,CUST0031,2023-12-20,delivered,1335.8
ORD00073,CUST0035,2024-01-22,invoiced,2240.52
ORD00074,CUST0013,2023-09-02,returned,934.56
ORD00075,CUST0050,2024-02-25,delivered,780.67
ORD00076,CUST0031,2024-01-26,delivered,2372.48
ORD00077,CUST0042,2023-06-05,invoiced,2316.46
ORD00078,CUST0009,2024-05-29,returned,813.49
ORD00079,CUST0007,2024-03-26,shipped,1274.13
ORD00080,CUST0030,2023-01-16,processing,998.7
ORD00081,CUST0042,2023-06-08,shipped,1140.04
ORD00082,CUST0017,2023-12-13,returned,1670.17
ORD00083,CUST0042,2023-03-24,delivered,2049.31
ORD00084,CUST0035,2024-01-25,delivered,1513.65
ORD00085,CUST0049,2024-05-14,delivered,110.26
ORD00086,CUST0005,2023-08-29,delivered,2393.89
ORD00087,CUST0048,2023-04-03,delivered,2348.55
ORD00088,CUST0049,2023-04-13,invoiced,420.12
ORD00089,CUST0020,2023-01-30,delivered,795.39
ORD00090,CUST0004,2023-10-28,delivered,915.25
ORD00091,CUST0010,2023-09-08,delivered,1003.62
ORD00092,CUST0044,2023-07-04,processing,440.79
ORD00093,CUST0040,2024-01-27,returned,1647.44
ORD00094,CUST0032,2023-05-27,canceled,1120.23
ORD00095,CUST0017,2024-04-15,delivered,1608.75
ORD00096,CUST0030,2023-10-22,delivered,400.19
ORD00097,CUST0029,2023-12-20,returned,735.49
ORD00098,CUST0028,2023-09-14,invoiced,2032.6
ORD00099,CUST0013,2024-01-29,invoiced,278.3
ORD00100,CUST0025,2024-01-03,returned,727.7
ORD00101,CUST0045,2023-10-30,delivered,2347.62
ORD00102,CUST0043,2024-02-10,delivered,44.23
ORD00103,CUST0044,2023-02-20,returned,1794.78
ORD00104,CUST0019,2023-08-24,returned,1929.59
ORD00105,CUST0015,2023-07-14,returned,620.24
ORD00106,CUST0049,2023-05-21,shipped,2170.58
ORD00107,CUST0042,2023-02-10,delivered,1897.95
ORD00108,CUST0003,2024-01-09,processing,239.07
ORD00109,CUST0019,2023-12-01,delivered,442.15
ORD00110,CUST0009,2024-01-10,delivered,1216.76
ORD00111,CUST0018,2023-06-18,delivered,2195.87
ORD00112,CUST0031,2023-10-30,delivered,1935.05
ORD00113,CUST0030,2023-03-19,processing,1816.11
ORD00114,CUST0015,2024-02-11,delivered,893.72
ORD00115,CUST0026,2023-01-15,delivered,1299.36
ORD00116,CUST0030,2024-01-13,delivered,1413.33
ORD00117,CUST0041,2024-01-16,shipped,1627.74
ORD00118,CUST0031,2023-01-26,returned,2125.06
ORD00119,CUST0036,2023-12-02,returned,550.75
ORD00120,CUST0005,2024-04-20,delivered,1566.94
ORD00121,CUST0008,2023-05-24,delivered,2272.37
ORD00122,CUST0020,2024-05-19,shipped,255.83
ORD00123,CUST0035,2023-05-19,delivered,1102.4
ORD00124,CUST0043,2024-03-05,returned,1787.89
ORD00125,CUST0010,2024-02-29,shipped,2005.02
ORD00126,CUST0040,2024-02-22,delivered,102.7
ORD00127,CUST0024,2023-08-11,invoiced,1081.15
ORD00128,CUST0016,2024-01-07,shipped,2354.7
ORD00129,CUST0024,2024-01-03,delivered,970.58
ORD00130,CUST0013,2023-05-06,invoiced,242.72
ORD00131,CUST0014,2023-01-22,delivered,1893.64
ORD00132,CUST0016,2023-05-09,returned,512.36
ORD00133,CUST0049,2023-08-01,returned,537.88
ORD00134,CUST0015,2023-12-03,processing,1898.03
ORD00135,CUST0039,2023-01-03,delivered,2063.71
ORD00136,CUST0010,2023-05-14,delivered,620.3
ORD00137,CUST0012,2023-04-23,delivered,338.03
ORD00138,CUST0023,2023-09-01,returned,793.96
ORD00139,CUST0012,2023-09-29,delivered,326.05
ORD00140,CUST0027,2024-06-22,shipped,1795.96
ORD00141,CUST0031,2024-04-04,delivered,1243.94
ORD00142,CUST0007,2024-04-07,delivered,551.18
ORD00143,CUST0040,2023-02-14,delivered,741.37
ORD00144,CUST0042,2023-02-01,delivered,2396.64
ORD00145,CUST0026,2024-03-12,shipped,1189.39
ORD00146,CUST0029,2023-03-17,shipped,790.02
ORD00147,CUST0010,2023-03-09,processing,678.16
ORD00148,CUST0041,2023-11-29,delivered,2387.24
ORD00149,CUST0034,2023-10-29,invoiced,1225.68
ORD00150,CUST0028,2023-04-12,shipped,2050.38
ORD00151,CUST0042,2023-08-09,delivered,1097.44
ORD00152,CUST0015,2024-02-28,delivered,1990.12
ORD00153,CUST0026,2024-03-01,shipped,767.3
ORD00154,CUST0021,2023-09-19,delivered,2289.78
ORD00155,CUST0044,2024-04-30,shipped,241.66
ORD00156,CUST0006,2023-04-06,delivered,254.34
ORD00157,CUST0048,2024-01-17,processing,1346.38
ORD00158,CUST0038,2023-12-04,shipped,1000.67
ORD00159,CUST0043,2024-03-09,delivered,2324.95
ORD00160,CUST0039,2023-11-16,delivered,271.05
ORD00161,CUST0033,2023-08-06,processing,1584.75
ORD00162,CUST0015,2023-04-21,delivered,2032.76
ORD00163,CUST0024,2023-04-28,delivered,1388.49
ORD00164,CUST0028,2023-01-27,returned,2231.58
ORD00165,CUST0045,2023-10-01,delivered,453.49
ORD00166,CUST0045,2023-11-13,delivered,858.68
ORD00167,CUST0012,2023-05-27,returned,1586.19
ORD00168,CUST0005,2023-05-26,delivered,242.92
ORD00169,CUST0034,2023-08-09,delivered,1022.1
ORD00170,CUST0022,2023-06-11,delivered,765.14
ORD00171,CUST0021,2023-03-28,delivered,394.5
ORD00172,CUST0049,2023-02-20,shipped,671.24
ORD00173,CUST0043,2024-03-10,invoiced,1466.81
ORD00174,CUST0027,2023-10-07,canceled,1817.99
ORD00175,CUST0008,2023-12-20,delivered,288.36
ORD00176,CUST0044,2024-05-13,delivered,1609.44
ORD00177,CUST0003,2023-08-14,delivered,2363.06
ORD00178,CUST0004,2023-01-08,canceled,740.87
ORD00179,CUST0014,2023-05-21,delivered,712.44
ORD00180,CUST0008,2023-01-08,invoiced,1799.16
ORD00181,CUST0012,2023-05-13,delivered,1289.88
ORD00182,CUST0015,2024-05-27,delivered,2004.22
ORD00183,CUST0023,2023-03-15,delivered,2071.69
ORD00184,CUST0003,2024-03-22,delivered,1116.92
ORD00185,CUST0005,2023-11-17,returned,1044.55
ORD00186,CUST0026,2024-03-03,delivered,298.54
ORD00187,CUST0002,2023-11-29,processing,1928.14
ORD00188,CUST0040,2024-04-16,delivered,234.31
ORD00189,CUST0007,2023-09-07,delivered,1423.57
ORD00190,CUST0034,2023-03-22,delivered,2092.5
ORD00191,CUST0048,2023-12-14,canceled,816.04
ORD00192,CUST0011,2023-03-20,delivered,1528.91
ORD00193,CUST0034,2024-06-06,canceled,2176.57
ORD00194,CUST0023,2023-12-26,processing,586.14
ORD00195,CUST0010,2023-09-20,canceled,437.06
ORD00196,CUST0010,2023-03-19,processing,2284.32
ORD00197,CUST0041,2024-05-20,invoiced,1816.81
ORD00198,CUST0049,2024-04-04,returned,1552.11
ORD00199,CUST0040,2023-11-27,delivered,383.52
ORD00200,CUST0005,2024-04-25,invoiced,1524.54
